TravYear,SegMode,DayType,FromStn_Short,ToStn_Short,FromStn_Long,ToStn_Long,SegDir,SegID,AvgDailyVol
2023,C,MF,AB,BP,Aberdeen Stn,Bridgeport Stn,Inbound,89,15323.58293
2023,C,MF,AB,BP,Aberdeen Stn,Bridgeport Stn,Outbound,89,14820.1562
2023,C,MF,BC,OV,Broadway-City Hall Stn,Olympic Village Stn,Inbound,83,31304.51513
2023,C,MF,BC,OV,Broadway-City Hall Stn,Olympic Village Stn,Outbound,83,30550.11482
2023,C,MF,BP,MD,Bridgeport Stn,Marine Drive Stn,Inbound,88,26801.80898
2023,C,MF,BP,MD,Bridgeport Stn,Marine Drive Stn,Outbound,88,26897.16998
2023,C,MF,KE,BC,King Edward Stn,Broadway-City Hall Stn,Inbound,84,32903.6319
2023,C,MF,KE,BC,King Edward Stn,Broadway-City Hall Stn,Outbound,84,32273.40498
2023,C,MF,LA,AB,Lansdowne Stn,Aberdeen Stn,Inbound,90,13470.58106
2023,C,MF,LA,AB,Lansdowne Stn,Aberdeen Stn,Outbound,90,12757.45758
2023,C,MF,LG,OR,Langara-49th Stn,Oakridge-41st Stn,Inbound,86,31654.96464
2023,C,MF,LG,OR,Langara-49th Stn,Oakridge-41st Stn,Outbound,86,31429.89465
2023,C,MF,MD,LG,Marine Drive Stn,Langara-49th Stn,Inbound,87,30268.80685
2023,C,MF,MD,LG,Marine Drive Stn,Langara-49th Stn,Outbound,87,30306.91253
2023,C,MF,OR,KE,Oakridge-41st Stn,King Edward Stn,Inbound,85,31677.50179
2023,C,MF,OR,KE,Oakridge-41st Stn,King Edward Stn,Outbound,85,31142.59997
2023,C,MF,OV,YT,Olympic Village Stn,Yaletown-Roundhouse Stn,Inbound,82,31537.70114
2023,C,MF,OV,YT,Olympic Village Stn,Yaletown-Roundhouse Stn,Outbound,82,30375.84184
2023,C,MF,RB,LA,Brighouse Stn,Lansdowne Stn,Inbound,91,10191.36854
2023,C,MF,RB,LA,Brighouse Stn,Lansdowne Stn,Outbound,91,9429.833546
2023,C,MF,SI,TE,Sea Island Stn,Templeton Stn,Inbound,93,7609.8563
2023,C,MF,SI,TE,Sea Island Stn,Templeton Stn,Outbound,93,7563.749275
2023,C,MF,TE,BP,Templeton Stn,Bridgeport Stn,Inbound,92,7659.137495
2023,C,MF,TE,BP,Templeton Stn,Bridgeport Stn,Outbound,92,7859.393352
2023,C,MF,VA,WC,Vancouver City Centre Stn,Waterfront Stn - CL,Inbound,80,13792.85415
2023,C,MF,VA,WC,Vancouver City Centre Stn,Waterfront Stn - CL,Outbound,80,13083.91526
2023,C,MF,YA,SI,YVR-Airport Stn,Sea Island Stn,Inbound,94,7400.866584
2023,C,MF,YA,SI,YVR-Airport Stn,Sea Island Stn,Outbound,94,7217.350422
2023,C,MF,YT,VA,Yaletown-Roundhouse Stn,Vancouver City Centre Stn,Inbound,81,27234.25078
2023,C,MF,YT,VA,Yaletown-Roundhouse Stn,Vancouver City Centre Stn,Outbound,81,25822.46352
2023,C,Sat,AB,BP,Aberdeen Stn,Bridgeport Stn,Inbound,89,13290.79022
2023,C,Sat,AB,BP,Aberdeen Stn,Bridgeport Stn,Outbound,89,12967.92421
2023,C,Sat,BC,OV,Broadway-City Hall Stn,Olympic Village Stn,Inbound,83,25895.73735
2023,C,Sat,BC,OV,Broadway-City Hall Stn,Olympic Village Stn,Outbound,83,24608.6289
2023,C,Sat,BP,MD,Bridgeport Stn,Marine Drive Stn,Inbound,88,23572.68784
2023,C,Sat,BP,MD,Bridgeport Stn,Marine Drive Stn,Outbound,88,23283.74708
2023,C,Sat,KE,BC,King Edward Stn,Broadway-City Hall Stn,Inbound,84,27067.83303
2023,C,Sat,KE,BC,King Edward Stn,Broadway-City Hall Stn,Outbound,84,25770.59432
2023,C,Sat,LA,AB,Lansdowne Stn,Aberdeen Stn,Inbound,90,11347.79274
2023,C,Sat,LA,AB,Lansdowne Stn,Aberdeen Stn,Outbound,90,10880.47369
2023,C,Sat,LG,OR,Langara-49th Stn,Oakridge-41st Stn,Inbound,86,26145.43258
2023,C,Sat,LG,OR,Langara-49th Stn,Oakridge-41st Stn,Outbound,86,25303.2469
2023,C,Sat,MD,LG,Marine Drive Stn,Langara-49th Stn,Inbound,87,25395.88321
2023,C,Sat,MD,LG,Marine Drive Stn,Langara-49th Stn,Outbound,87,24891.91085
2023,C,Sat,OR,KE,Oakridge-41st Stn,King Edward Stn,Inbound,85,26108.16456
2023,C,Sat,OR,KE,Oakridge-41st Stn,King Edward Stn,Outbound,85,24958.93315
2023,C,Sat,OV,YT,Olympic Village Stn,Yaletown-Roundhouse Stn,Inbound,82,25899.47613
2023,C,Sat,OV,YT,Olympic Village Stn,Yaletown-Roundhouse Stn,Outbound,82,24429.05768
2023,C,Sat,RB,LA,Brighouse Stn,Lansdowne Stn,Inbound,91,8397.33919
2023,C,Sat,RB,LA,Brighouse Stn,Lansdowne Stn,Outbound,91,7964.404404
2023,C,Sat,SI,TE,Sea Island Stn,Templeton Stn,Inbound,93,6862.299452
2023,C,Sat,SI,TE,Sea Island Stn,Templeton Stn,Outbound,93,6530.972109
2023,C,Sat,TE,BP,Templeton Stn,Bridgeport Stn,Inbound,92,7808.29633
2023,C,Sat,TE,BP,Templeton Stn,Bridgeport Stn,Outbound,92,7707.696248
2023,C,Sat,VA,WC,Vancouver City Centre Stn,Waterfront Stn - CL,Inbound,80,10564.66034
2023,C,Sat,VA,WC,Vancouver City Centre Stn,Waterfront Stn - CL,Outbound,80,9747.629412
2023,C,Sat,YA,SI,YVR-Airport Stn,Sea Island Stn,Inbound,94,6855.292181
2023,C,Sat,YA,SI,YVR-Airport Stn,Sea Island Stn,Outbound,94,6439.751003
2023,C,Sat,YT,VA,Yaletown-Roundhouse Stn,Vancouver City Centre Stn,Inbound,81,21880.88128
2023,C,Sat,YT,VA,Yaletown-Roundhouse Stn,Vancouver City Centre Stn,Outbound,81,20513.14701
2023,C,Sun/Hol,AB,BP,Aberdeen Stn,Bridgeport Stn,Inbound,89,10642.35374
2023,C,Sun/Hol,AB,BP,Aberdeen Stn,Bridgeport Stn,Outbound,89,10451.9586
2023,C,Sun/Hol,BC,OV,Broadway-City Hall Stn,Olympic Village Stn,Inbound,83,20649.96265
2023,C,Sun/Hol,BC,OV,Broadway-City Hall Stn,Olympic Village Stn,Outbound,83,20371.33016
2023,C,Sun/Hol,BP,MD,Bridgeport Stn,Marine Drive Stn,Inbound,88,20158.65401
2023,C,Sun/Hol,BP,MD,Bridgeport Stn,Marine Drive Stn,Outbound,88,19728.34622
2023,C,Sun/Hol,KE,BC,King Edward Stn,Broadway-City Hall Stn,Inbound,84,21934.63557
2023,C,Sun/Hol,KE,BC,King Edward Stn,Broadway-City Hall Stn,Outbound,84,21466.54079
