TravYear,SegMode,DayType,TimePeriod,TravFromStn,TravToStn,hour_24,minute_15,AvgHrlyVol
2023,C,MF,AM Peak,KE,BC,8,0,4419.524497
2023,C,MF,Early AM,OR,KE,5,45,1095.919055
2023,C,MF,Evening,BC,KE,18,0,2930.685473
2023,C,MF,Late Night,BC,KE,0,0,329.901955
2023,C,MF,Midday,KE,BC,9,0,2626.838519
2023,C,MF,Night,BC,KE,21,0,1386.688563
2023,C,MF,PM Peak,BC,KE,16,45,4346.132586
2023,C,Sat,AM Peak,KE,BC,8,45,1474.95342
2023,C,Sat,Early AM,SI,YA,5,45,439.8807305
2023,C,Sat,Evening,BC,KE,18,0,2025.064528
2023,C,Sat,Late Night,OV,BC,0,0,606.543491
2023,C,Sat,Midday,KE,BC,13,30,2213.862049
2023,C,Sat,Night,BC,KE,21,30,1291.107686
2023,C,Sat,PM Peak,BC,KE,16,45,2321.081324
2023,C,Sun/Hol,AM Peak,KE,BC,8,45,1126.402918
2023,C,Sun/Hol,Early AM,SI,YA,5,45,410.6897079
2023,C,Sun/Hol,Evening,BC,KE,18,0,1731.430455
2023,C,Sun/Hol,Late Night,BC,KE,0,0,260.4848617
2023,C,Sun/Hol,Midday,KE,BC,13,15,1868.182091
2023,C,Sun/Hol,Night,BP,MD,21,0,1038.108934
2023,C,Sun/Hol,PM Peak,BC,KE,16,45,1975.826748
2023,M,MF,AM Peak,BW,MN,8,0,10177.96568
2023,M,MF,Early AM,NW,TS,5,45,3735.248661
2023,M,MF,Evening,MN,BW,18,0,6028.247304
2023,M,MF,Late Night,MN,BW,0,0,1222.348018
2023,M,MF,Midday,BW,MN,9,0,5683.168293
2023,M,MF,Night,MN,BW,21,0,3324.160162
2023,M,MF,PM Peak,MN,BW,16,45,9306.743084
2023,M,Sat,AM Peak,BW,MN,8,45,3307.24429
2023,M,Sat,Early AM,SR,CO,5,45,1144.386383
2023,M,Sat,Evening,MN,BW,18,0,4283.179131
2023,M,Sat,Late Night,MN,BW,0,0,2088.733962
2023,M,Sat,Midday,BW,MN,14,0,4106.270518
2023,M,Sat,Night,MN,BW,21,30,3584.194768
2023,M,Sat,PM Peak,MN,BW,16,45,4601.014618
2023,M,Sun/Hol,AM Peak,BW,MN,7,30,2596.501719
2023,M,Sun/Hol,Early AM,SR,CO,5,45,117.6375314
2023,M,Sun/Hol,Evening,MN,BW,18,0,3567.351407
2023,M,Sun/Hol,Late Night,CO,SR,0,0,681.0351881
2023,M,Sun/Hol,Midday,BW,MN,13,45,3349.25508
2023,M,Sun/Hol,Night,MN,BW,21,0,2091.495404
2023,M,Sun/Hol,PM Peak,MN,BW,17,0,4011.177222
2024,C,MF,AM Peak,KE,BC,8,0,4647.977223
2024,C,MF,Early AM,OR,KE,5,45,1169.253026
2024,C,MF,Evening,BC,KE,18,0,2998.006942
2024,C,MF,Late Night,BC,KE,0,0,319.7820564
2024,C,MF,Midday,KE,BC,9,0,2808.887967
2024,C,MF,Night,BC,KE,21,0,1396.741987
2024,C,MF,PM Peak,BC,KE,16,45,4642.381754
2024,C,Sat,AM Peak,KE,BC,8,45,1491.209011
2024,C,Sat,Early AM,SI,YA,5,45,450.2942702
2024,C,Sat,Evening,BC,KE,18,0,2040.308523
2024,C,Sat,Late Night,OV,BC,0,0,624.8535681
2024,C,Sat,Midday,KE,BC,13,30,2249.631049
2024,C,Sat,Night,BC,KE,21,30,1380.930081
2024,C,Sat,PM Peak,BC,KE,16,30,2281.523385
2024,C,Sun/Hol,AM Peak,KE,BC,8,45,1125.646252
2024,C,Sun/Hol,Early AM,SI,YA,5,45,421.0280722
2024,C,Sun/Hol,Evening,BC,KE,18,0,1737.254681
2024,C,Sun/Hol,Late Night,BC,KE,0,0,257.5278312
2024,C,Sun/Hol,Midday,KE,BC,13,0,1906.887275
2024,C,Sun/Hol,Night,BP,MD,21,0,1005.18855
2024,C,Sun/Hol,PM Peak,BC,KE,16,30,2013.483109
2024,M,MF,AM Peak,BW,MN,8,0,10765.36745
2024,M,MF,Early AM,NW,TS,5,45,4081.372963
2024,M,MF,Evening,MN,BW,18,0,6377.142081
2024,M,MF,Late Night,MN,BW,0,0,1269.545861
2024,M,MF,Midday,BW,MN,9,0,6215.884404
2024,M,MF,Night,MN,BW,21,0,3503.412873
2024,M,MF,PM Peak,MN,BW,16,45,10107.38865
