CalendarYear,StationName,AnnualStationBrdgs,AvgStationBrdgs_MF,AvgStationBrdgs_Sat,AvgStationBrdgs_SunHol
2023,22nd Street Station,3407157.304,10713.28773,7314.544294,5834.240069
2023,29th Avenue Station,2174793.588,6520.027441,5429.213608,4323.410767
2023,Aberdeen Station,1268781.499,3479.516228,3890.925276,3169.35727
2023,Braid Station,1194905.683,3821.302367,2505.905584,1858.762676
2023,Brentwood Town Centre Station,2120431.077,6585.061473,4911.196726,3670.612372
2023,Bridgeport Station,3154343.493,9318.925842,7995.229341,6678.298152
2023,Broadway-City Hall Station,3396604.67,10581.6357,7558.043385,5979.659796
2023,Burquitlam Station,1449287.429,4581.242983,3171.408422,2352.484049
2023,Burrard Station,5796521.212,18516.73642,11900.97974,9271.584202
2023,Columbia Station,1317414.407,4124.725079,2959.291635,2226.11627
2023,Commercial-Broadway Station,6229000.794,19105.4699,14846.84523,11339.91759
2023,Coquitlam Central Station,1571948.544,4836.665169,3800.740662,2768.92688
2023,Edmonds Station,3388533.597,10666.12166,7373.941712,5690.991342
2023,Gateway Station,2046199.604,6319.178927,4657.862194,3726.480599
2023,Gilmore Station,1037423.301,3453.599244,1949.785678,1287.605651
2023,Granville Station,5858964.584,17639.19734,14592.06518,11406.83547
2023,Holdom Station,851114.4233,2670.97234,1916.571122,1412.641598
2023,Inlet Centre Station,635418.1862,1985.94568,1473.095543,1053.737996
2023,Joyce-Collingwood Station,5003948.836,14867.12445,12655.54086,10313.73327
2023,King Edward Station,2023463.802,6129.978267,4871.554815,3922.507013
2023,King George Station,4618313.407,14647.55975,9804.660833,7535.329947
2023,Lafarge Lake-Douglas Station,711626.9573,2264.071537,1502.527241,1141.702215
2023,Lake City Way Station,294657.5327,992.1593766,493.0460958,368.6218544
2023,Langara-49th Avenue Station,2405456.338,7563.987154,5069.068059,4185.031538
2023,Lansdowne Station,1457706.079,4243.994706,3960.333301,3121.493551
2023,Lincoln Station,1173672.812,3510.293282,3025.606911,2295.299022
2023,Lougheed Town Centre Station,3685654.33,11561.26422,8200.612309,6205.682103
2023,Main Street-Science World Station,3769209.237,11415.43107,9452.204406,7049.851391
